word,shell ccount,all count,proportion,new
signing,2,97,2.06%,1
tie,2,103,1.94%,1
assistance,2,104,1.92%,1
constitution,2,105,1.90%,1
speech,2,123,1.63%,1
combination,2,125,1.60%,1
platform,2,126,1.59%,1
gulf,2,133,1.50%,1
survey,2,136,1.47%,1
sentence,2,158,1.27%,1
religion,2,164,1.22%,1
avenue,2,165,1.21%,1
grave,2,165,1.21%,1
publication,2,188,1.06%,1
something,2,216,0.93%,1
health,2,218,0.92%,1
lane,2,218,0.92%,1
conflict,2,221,0.90%,1
leg,2,245,0.82%,1
course,2,260,0.77%,1
audience,2,265,0.75%,1
edge,2,271,0.74%,1
standard,2,280,0.71%,1
competition,2,319,0.63%,1
industry,2,355,0.56%,1
hit,2,416,0.48%,1
style,2,542,0.37%,1
highway,2,650,0.31%,1
release,2,637,0.31%,1
land,2,778,0.26%,1
match,2,851,0.24%,1
week,2,910,0.22%,1
video,2,894,0.22%,1
division,2,1068,0.19%,1
character,2,1164,0.17%,1
propensity,2,2,100.00%,0
impetus,2,3,66.67%,0
ploy,2,3,66.67%,0
impulse,2,4,50.00%,0
edict,2,6,33.33%,0
farce,2,6,33.33%,0
dilemma,2,7,28.57%,0
satisfaction,2,9,22.22%,0
anomaly,2,11,18.18%,0
anxiety,2,11,18.18%,0
confirmation,2,12,16.67%,0
curiosity,2,13,15.38%,0
inconsistency,2,14,14.29%,0
regret,2,14,14.29%,0
irony,2,17,11.76%,0
shame,2,17,11.76%,0
success,2,19,10.53%,0
recipe,2,28,7.14%,0
resolve,2,30,6.67%,0
testimony,2,34,5.88%,0
wonder,2,36,5.56%,0
phenomenon,2,43,4.65%,0
punishment,2,51,3.92%,0
pleasure,2,75,2.67%,0
rush,2,76,2.63%,0
faith,2,101,1.98%,0
object,2,134,1.49%,0
crime,2,146,1.37%,0
foundation,2,173,1.16%,0
protest,2,177,1.13%,0
key,2,320,0.63%,0
abstention,1,1,100.00%,1
indices,1,1,100.00%,1
lacuna,1,1,100.00%,1
motu,1,1,100.00%,1
notation,1,1,100.00%,1
pretense,1,1,100.00%,1
inconvenience,1,2,50.00%,1
insinuation,1,2,50.00%,1
realization,1,2,50.00%,1
recourse,1,2,50.00%,1
whim,1,2,50.00%,1
amenity,1,3,33.33%,1
aptitude,1,3,33.33%,1
demotion,1,3,33.33%,1
facet,1,3,33.33%,1
fiasco,1,3,33.33%,1
hindrance,1,3,33.33%,1
phobia,1,3,33.33%,1
stat,1,3,33.33%,1
tinge,1,3,33.33%,1
tweak,1,3,33.33%,1
aversion,1,4,25.00%,1
documentation,1,4,25.00%,1
glimpse,1,4,25.00%,1
glitch,1,4,25.00%,1
hardship,1,4,25.00%,1
remit,1,4,25.00%,1
meme,1,5,20.00%,1
timetable,1,5,20.00%,1
blueprint,1,6,16.67%,1
dubium,1,6,16.67%,1
ignorance,1,6,16.67%,1
caution,1,8,12.50%,1
discontent,1,8,12.50%,1
intrigue,1,8,12.50%,1
deficiency,1,9,11.11%,1
eligibility,1,9,11.11%,1
fascination,1,9,11.11%,1
footing,1,9,11.11%,1
injustice,1,9,11.11%,1
rift,1,9,11.11%,1
threshold,1,9,11.11%,1
wrinkle,1,9,11.11%,1
fracture,1,10,10.00%,1
methodology,1,10,10.00%,1
readiness,1,10,10.00%,1
tagline,1,10,10.00%,1
agendum,1,11,9.09%,1
instant,1,11,9.09%,1
hunger,1,12,8.33%,1
positioning,1,12,8.33%,1
turmoil,1,12,8.33%,1
stint,1,13,7.69%,1
admiration,1,15,6.67%,1
hum,1,15,6.67%,1
influx,1,15,6.67%,1
lineup,1,15,6.67%,1
menu,1,15,6.67%,1
setback,1,16,6.25%,1
dislike,1,17,5.88%,1
summary,1,17,5.88%,1
endorsement,1,19,5.26%,1
saga,1,19,5.26%,1
backdrop,1,20,5.00%,1
harm,1,20,5.00%,1
ideology,1,20,5.00%,1
warrant,1,20,5.00%,1
certificate,1,22,4.55%,1
proceedings,1,23,4.35%,1
alert,1,25,4.00%,1
morale,1,25,4.00%,1
persona,1,25,4.00%,1
stunt,1,25,4.00%,1
trailer,1,27,3.70%,1
modification,1,28,3.57%,1
dish,1,29,3.45%,1
sum,1,29,3.45%,1
swing,1,30,3.33%,1
license,1,33,3.03%,1
blame,1,36,2.78%,1
identification,1,36,2.78%,1
tear,1,36,2.78%,1
devotion,1,38,2.63%,1
illness,1,41,2.44%,1
photo,1,42,2.38%,1
fringe,1,43,2.33%,1
intervention,1,43,2.33%,1
thank,1,43,2.33%,1
sight,1,47,2.13%,1
donation,1,49,2.04%,1
landmark,1,51,1.96%,1
wait,1,51,1.96%,1
debt,1,53,1.89%,1
suit,1,56,1.79%,1
margin,1,57,1.75%,1
proportion,1,57,1.75%,1
pace,1,59,1.69%,1
address,1,65,1.54%,1
behavior,1,68,1.47%,1
conversation,1,69,1.45%,1
parody,1,70,1.43%,1
personality,1,74,1.35%,1
favor,1,80,1.25%,1
adaptation,1,84,1.19%,1
identity,1,93,1.08%,1
rank,1,96,1.04%,1
label,1,105,0.95%,1
count,1,106,0.94%,1
fine,1,107,0.93%,1
pitch,1,113,0.88%,1
spirit,1,113,0.88%,1
drawing,1,121,0.83%,1
introduction,1,120,0.83%,1
turning,1,123,0.81%,1
relation,1,126,0.79%,1
portrait,1,130,0.77%,1
raid,1,131,0.76%,1
bas,1,136,0.74%,1
promotion,1,135,0.74%,1
candidate,1,139,0.72%,1
verse,1,138,0.72%,1
composition,1,149,0.67%,1
color,1,168,0.60%,1
reserve,1,171,0.58%,1
shape,1,171,0.58%,1
window,1,190,0.53%,1
feel,1,189,0.53%,1
draw,1,205,0.49%,1
break,1,207,0.48%,1
want,1,278,0.36%,1
beginning,1,331,0.30%,1
language,1,360,0.28%,1
flight,1,365,0.27%,1
opening,1,385,0.26%,1
addition,1,432,0.23%,1
face,1,428,0.23%,1
force,1,1557,0.06%,1
year,1,3695,0.03%,1
adage,1,1,100.00%,0
clout,1,1,100.00%,0
proviso,1,1,100.00%,0
vocation,1,1,100.00%,0
inference,1,2,50.00%,0
bargain,1,3,33.33%,0
notification,1,3,33.33%,0
pretense,1,3,33.33%,0
ruse,1,4,25.00%,0
delusion,1,5,20.00%,0
persuasion,1,5,20.00%,0
resentment,1,5,20.00%,0
justification,1,6,16.67%,0
affirmation,1,7,14.29%,0
handicap,1,7,14.29%,0
maxim,1,8,12.50%,0
urge,1,8,12.50%,0
discrepancy,1,9,11.11%,0
pact,1,9,11.11%,0
weakness,1,9,11.11%,0
coincidence,1,10,10.00%,0
luck,1,10,10.00%,0
norm,1,12,8.33%,0
standpoint,1,12,8.33%,0
breakthrough,1,13,7.69%,0
remedy,1,13,7.69%,0
directive,1,14,7.14%,0
contention,1,15,6.67%,0
nightmare,1,16,6.25%,0
maneuvers,1,21,4.76%,0
bet,1,22,4.55%,0
metaphor,1,23,4.35%,0
wisdom,1,24,4.17%,0
habit,1,33,3.03%,0
fault,1,44,2.27%,0
recognition,1,86,1.16%,0
destiny,1,93,1.08%,0
intelligence,1,160,0.63%,0
fight,1,243,0.41%,0
space,1,299,0.33%,0
art,1,650,0.15%,0
site,1,742,0.13%,0
,,,,
